HomeTeam,AwayTeam,Date,Year,Month,DayOfWeek,Div,Time,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,1XBH,1XBD,1XBA,B365H,B365D,B365A,B365>2.5,B365<2.5,B365AHH,B365AHA,B365AH,BFH,BFD,BFA,BFEH,BFED,BFEA,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,VCH,VCD,VCA,BSH,BSD,BSA,BWH,BWD,BWA,CLH,CLD,CLA,GBH,GBD,GBA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,IWH,IWD,IWA,LBH,LBD,LBA,LBAHH,LBAHA,LBAH,PSH,PSD,PSA,P>2.5,P<2.5,PAHH,PAHA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,WHH,WHD,WHA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,MaxAHH,MaxAHA,AvgAHH,AvgAHA,AHh,HomeWin,Season,HomeTeam_mean_FTHG,AwayTeam_mean_FTAG,HomeRecentGF,HomeRecentGA,HomeRecentPts,AwayRecentGF,AwayRecentGA,AwayRecentPts,HomeTeam_Arsenal,HomeTeam_Aston Villa,HomeTeam_Birmingham,HomeTeam_Blackburn,HomeTeam_Blackpool,HomeTeam_Bolton,HomeTeam_Bournemouth,HomeTeam_Bradford,HomeTeam_Brentford,HomeTeam_Brighton,HomeTeam_Burnley,HomeTeam_Cardiff,HomeTeam_Charlton,HomeTeam_Chelsea,HomeTeam_Coventry,HomeTeam_Crystal Palace,HomeTeam_Derby,HomeTeam_Everton,HomeTeam_Fulham,HomeTeam_Huddersfield,HomeTeam_Hull,HomeTeam_Ipswich,HomeTeam_Leeds,HomeTeam_Leicester,HomeTeam_Liverpool,HomeTeam_Luton,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Middlesbrough,HomeTeam_Newcastle,HomeTeam_Norwich,HomeTeam_Nott'm Forest,HomeTeam_Portsmouth,HomeTeam_QPR,HomeTeam_Reading,HomeTeam_Sheffield United,HomeTeam_Southampton,HomeTeam_Stoke,HomeTeam_Sunderland,HomeTeam_Swansea,HomeTeam_Tottenham,HomeTeam_Watford,HomeTeam_West Brom,HomeTeam_West Ham,HomeTeam_Wigan,HomeTeam_Wolves,AwayTeam_Arsenal,AwayTeam_Aston Villa,AwayTeam_Birmingham,AwayTeam_Blackburn,AwayTeam_Blackpool,AwayTeam_Bolton,AwayTeam_Bournemouth,AwayTeam_Bradford,AwayTeam_Brentford,AwayTeam_Brighton,AwayTeam_Burnley,AwayTeam_Cardiff,AwayTeam_Charlton,AwayTeam_Chelsea,AwayTeam_Coventry,AwayTeam_Crystal Palace,AwayTeam_Derby,AwayTeam_Everton,AwayTeam_Fulham,AwayTeam_Huddersfield,AwayTeam_Hull,AwayTeam_Ipswich,AwayTeam_Leeds,AwayTeam_Leicester,AwayTeam_Liverpool,AwayTeam_Luton,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Middlesbrough,AwayTeam_Newcastle,AwayTeam_Norwich,AwayTeam_Nott'm Forest,AwayTeam_Portsmouth,AwayTeam_QPR,AwayTeam_Reading,AwayTeam_Sheffield United,AwayTeam_Southampton,AwayTeam_Stoke,AwayTeam_Sunderland,AwayTeam_Swansea,AwayTeam_Tottenham,AwayTeam_Watford,AwayTeam_West Brom,AwayTeam_West Ham,AwayTeam_Wigan,AwayTeam_Wolves,Kickoff,home_team,away_team,date,B365_gt_2_5,B365_lt_2_5,GB_gt_2_5,GB_lt_2_5,P_gt_2_5,P_lt_2_5,BbMx_gt_2_5,BbAv_gt_2_5,BbMx_lt_2_5,BbAv_lt_2_5,Max_gt_2_5,Max_lt_2_5,Avg_gt_2_5,Avg_lt_2_5,HomeTeam_Aston_Villa,HomeTeam_Crystal_Palace,HomeTeam_Man_City,HomeTeam_Man_United,HomeTeam_Nott_m_Forest,HomeTeam_Sheffield_United,HomeTeam_West_Brom,HomeTeam_West_Ham,AwayTeam_Aston_Villa,AwayTeam_Crystal_Palace,AwayTeam_Man_City,AwayTeam_Man_United,AwayTeam_Nott_m_Forest,AwayTeam_Sheffield_United,AwayTeam_West_Brom,AwayTeam_West_Ham
Bournemouth,Leeds,2026-04-22 20:00:00,2026,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,3.6,3.75,1.98,3.71,3.94,1.81,2.17,,,,1.95,3.6,3.75,1.95,3.6,3.75,1.95,3.6,3.75,1.95,3.6,3.75,1.95,3.6,3.75,,3.6,3.75,,3.6,3.75,1.95,3.6,3.75,1.95,3.6,3.75,1.95,3.6,3.75,1.81,2.17,,,,1.95,3.6,3.75,1.95,3.5,3.7,,,,1.98,3.71,3.94,1.81,2.17,,,1.95,3.6,3.75,1.95,3.6,3.75,1.95,3.6,3.75,1.95,3.6,3.75,1.95,3.4,3.6,,1.95,1.95,3.6,3.6,3.75,3.75,,1.81,1.81,2.17,2.17,,,,,,,1.95,3.6,3.75,1.95,3.6,3.75,1.81,2.17,1.81,2.17,,,,,,,,1.3712574850299402,1.2937062937062938,1.4,1.2,7.0,1.4,1.6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-22 20:00:00,bournemouth,leeds,2026-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnley,Man City,2026-04-22 20:00:00,2026,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,9.0,1.14,17.79,9.26,1.15,1.3,3.4,,,,17.0,9.0,1.14,17.0,9.0,1.14,17.0,9.0,1.14,17.0,9.0,1.14,17.0,9.0,1.14,,9.0,1.14,,9.0,1.14,17.0,9.0,1.14,17.0,9.0,1.14,17.0,9.0,1.14,1.3,3.4,,,,17.0,9.0,1.14,12.0,8.5,1.17,,,,17.79,9.26,1.15,1.3,3.4,,,17.0,9.0,1.14,17.0,9.0,1.14,17.0,9.0,1.14,17.0,9.0,1.14,15.0,8.0,1.15,,17.0,17.0,9.0,9.0,1.14,1.14,,1.3,1.3,3.4,3.4,,,,,,,17.0,9.0,1.14,17.0,9.0,1.14,1.3,3.4,1.3,3.4,,,,,,,,1.0486486486486486,1.6314655172413792,1.4,2.0,3.0,1.2,1.2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-22 20:00:00,burnley,man city,2026-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunderland,Nott'm Forest,2026-04-24 20:00:00,2026,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.2,2.6,2.77,3.27,2.74,2.22,1.77,,,,2.7,3.2,2.6,2.7,3.2,2.6,2.7,3.2,2.6,2.7,3.2,2.6,2.7,3.2,2.6,,3.2,2.6,,3.2,2.6,2.7,3.2,2.6,2.7,3.2,2.6,2.7,3.2,2.6,2.22,1.77,,,,2.7,3.2,2.6,2.7,3.2,2.6,,,,2.77,3.27,2.74,2.22,1.77,,,2.7,3.2,2.6,2.7,3.2,2.6,2.7,3.2,2.6,2.7,3.2,2.6,2.7,3.1,2.6,,2.7,2.7,3.2,3.2,2.6,2.6,,2.22,2.22,1.77,1.77,,,,,,,2.7,3.2,2.6,2.7,3.2,2.6,2.22,1.77,2.22,1.77,,,,,,,,1.1035714285714286,1.1527777777777777,1.2,1.2,6.0,1.8,1.4,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-24 20:00:00,sunderland,nott'm forest,2026-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulham,Aston Villa,2026-04-25 12:30:00,2026,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.5,2.65,2.56,3.7,2.69,1.81,2.15,,,,2.5,3.5,2.65,2.5,3.5,2.65,2.5,3.5,2.65,2.5,3.5,2.65,2.5,3.5,2.65,,3.5,2.65,,3.5,2.65,2.5,3.5,2.65,2.5,3.5,2.65,2.5,3.5,2.65,1.81,2.15,,,,2.5,3.5,2.65,2.45,3.25,2.5,,,,2.56,3.7,2.69,1.81,2.15,,,2.5,3.5,2.65,2.5,3.5,2.65,2.5,3.5,2.65,2.5,3.5,2.65,2.5,3.4,2.5,,2.5,2.5,3.5,3.5,2.65,2.65,,1.81,1.81,2.15,2.15,,,,,,,2.5,3.5,2.65,2.5,3.5,2.65,1.81,2.15,1.81,2.15,,,,,,,,1.3693181818181819,1.1502347417840375,1.6,1.2,9.0,0.8,1.2,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-25 12:30:00,fulham,aston villa,2026-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liverpool,Crystal Palace,2026-04-25 15:00:00,2026,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,4.75,6.0,1.45,5.08,6.62,1.64,2.47,,,,1.48,4.75,6.0,1.48,4.75,6.0,1.48,4.75,6.0,1.48,4.75,6.0,1.48,4.75,6.0,,4.75,6.0,,4.75,6.0,1.48,4.75,6.0,1.48,4.75,6.0,1.48,4.75,6.0,1.64,2.47,,,,1.48,4.75,6.0,1.5,4.6,5.75,,,,1.45,5.08,6.62,1.64,2.47,,,1.48,4.75,6.0,1.48,4.75,6.0,1.48,4.75,6.0,1.48,4.75,6.0,1.44,4.6,6.0,,1.48,1.48,4.75,4.75,6.0,6.0,,1.64,1.64,2.47,2.47,,,,,,,1.48,4.75,6.0,1.48,4.75,6.0,1.64,2.47,1.64,2.47,,,,,,,,2.074688796680498,1.1467181467181466,2.4,1.4,8.0,1.4,1.2,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-25 15:00:00,liverpool,crystal palace,2026-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Ham,Everton,2026-04-25 15:00:00,2026,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.35,2.9,2.44,3.37,3.06,1.93,1.95,,,,2.4,3.35,2.9,2.4,3.35,2.9,2.4,3.35,2.9,2.4,3.35,2.9,2.4,3.35,2.9,,3.35,2.9,,3.35,2.9,2.4,3.35,2.9,2.4,3.35,2.9,2.4,3.35,2.9,1.93,1.95,,,,2.4,3.35,2.9,2.4,3.3,2.9,,,,2.44,3.37,3.06,1.93,1.95,,,2.4,3.35,2.9,2.4,3.35,2.9,2.4,3.35,2.9,2.4,3.35,2.9,2.4,3.2,2.9,,2.4,2.4,3.35,3.35,2.9,2.9,,1.93,1.93,1.95,1.95,,,,,,,2.4,3.35,2.9,2.4,3.35,2.9,1.93,1.95,1.93,1.95,,,,,,,,1.4292343387470998,1.0518672199170125,1.2,1.0,6.0,1.4,1.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-25 15:00:00,west ham,everton,2026-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolves,Tottenham,2026-04-25 15:00:00,2026,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,4.0,1.75,4.3,4.4,1.74,1.81,2.15,,,,4.25,4.0,1.75,4.25,4.0,1.75,4.25,4.0,1.75,4.25,4.0,1.75,4.25,4.0,1.75,,4.0,1.75,,4.0,1.75,4.25,4.0,1.75,4.25,4.0,1.75,4.25,4.0,1.75,1.81,2.15,,,,4.25,4.0,1.75,4.33,3.9,1.75,,,,4.3,4.4,1.74,1.81,2.15,,,4.25,4.0,1.75,4.25,4.0,1.75,4.25,4.0,1.75,4.25,4.0,1.75,4.0,4.0,1.75,,4.25,4.25,4.0,4.0,1.75,1.75,,1.81,1.81,2.15,2.15,,,,,,,4.25,4.0,1.75,4.25,4.0,1.75,1.81,2.15,1.81,2.15,,,,,,,,1.2126696832579185,1.4070247933884297,1.4,1.6,7.0,1.2,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-25 15:00:00,wolves,tottenham,2026-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal,Newcastle,2026-04-25 17:30:00,2026,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,4.6,6.0,1.5,4.78,6.26,1.66,2.42,,,,1.48,4.6,6.0,1.48,4.6,6.0,1.48,4.6,6.0,1.48,4.6,6.0,1.48,4.6,6.0,,4.6,6.0,,4.6,6.0,1.48,4.6,6.0,1.48,4.6,6.0,1.48,4.6,6.0,1.66,2.42,,,,1.48,4.6,6.0,1.48,4.6,6.0,,,,1.5,4.78,6.26,1.66,2.42,,,1.48,4.6,6.0,1.48,4.6,6.0,1.48,4.6,6.0,1.48,4.6,6.0,1.44,4.4,6.0,,1.48,1.48,4.6,4.6,6.0,6.0,,1.66,1.66,2.42,2.42,,,,,,,1.48,4.6,6.0,1.48,4.6,6.0,1.66,2.42,1.66,2.42,,,,,,,,2.1434511434511436,1.1101123595505618,1.8,0.8,10.0,1.0,1.4,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-25 17:30:00,arsenal,newcastle,2026-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man United,Brentford,2026-04-27 20:00:00,2026,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,3.9,3.8,1.85,3.99,4.12,1.63,2.49,,,,1.85,3.9,3.8,1.85,3.9,3.8,1.85,3.9,3.8,1.85,3.9,3.8,1.85,3.9,3.8,,3.9,3.8,,3.9,3.8,1.85,3.9,3.8,1.85,3.9,3.8,1.85,3.9,3.8,1.63,2.49,,,,1.85,3.9,3.8,1.8,3.9,4.0,,,,1.85,3.99,4.12,1.63,2.49,,,1.85,3.9,3.8,1.85,3.9,3.8,1.85,3.9,3.8,1.85,3.9,3.8,1.83,3.7,3.9,,1.85,1.85,3.9,3.9,3.8,3.8,,1.63,1.63,2.49,2.49,,,,,,,1.85,3.9,3.8,1.85,3.9,3.8,1.63,2.49,1.63,2.49,,,,,,,,2.0352697095435683,1.3406593406593406,2.4,0.8,15.0,1.6,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-27 20:00:00,man united,brentford,2026-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leeds,Burnley,2026-05-01 20:00:00,2026,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,4.6,6.5,1.5,4.38,6.19,1.77,2.22,,,,1.45,4.6,6.5,1.45,4.6,6.5,1.45,4.6,6.5,1.45,4.6,6.5,1.45,4.6,6.5,,4.6,6.5,,4.6,6.5,1.45,4.6,6.5,1.45,4.6,6.5,1.45,4.6,6.5,1.77,2.22,,,,1.45,4.6,6.5,1.45,4.6,6.5,,,,1.5,4.38,6.19,1.77,2.22,,,1.45,4.6,6.5,1.45,4.6,6.5,1.45,4.6,6.5,1.45,4.6,6.5,1.44,4.2,6.5,,1.45,1.45,4.6,4.6,6.5,6.5,,1.77,1.77,2.22,2.22,,,,,,,1.45,4.6,6.5,1.45,4.6,6.5,1.77,2.22,1.77,2.22,,,,,,,,1.4109589041095891,0.9623655913978495,0.6,1.4,4.0,1.0,2.2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-01 20:00:00,leeds,burnley,2026-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
